region_code,city,district,lat,lon,population,youth_population,elderly_population,net_migration,population_change,business_count,business_change,hospital_count,bus_stop_count,vacant_house_ratio
JEONJU-01,전주시,완산구,35.821,127.153,48000,12480,7900,180,-1.2,3400,3.2,41,96,9.5
JEONJU-02,전주시,덕진구,35.845,127.130,52000,13650,7400,210,-0.8,3600,4.6,38,92,8.1
IKSAN-01,익산시,영등동,35.952,126.954,29000,7420,6100,140,1.1,2500,4.9,29,88,7.4
IKSAN-02,익산시,삼기동,36.013,126.948,27000,6830,5800,110,0.4,2200,2.8,23,74,10.2
GUNSAN-01,군산시,수송동,35.978,126.708,31000,7740,6400,95,-0.6,2600,1.3,27,83,11.1
GIMJE-01,김제시,신풍동,35.803,126.881,19000,4280,4900,46,-1.7,1800,-0.5,15,52,14.8
NAMWON-01,남원시,요천동,35.413,127.389,22000,5600,6100,72,-0.2,2100,1.9,18,60,12.5
JEUNGJU-01,정읍시,시기동,35.568,126.855,26000,6460,7200,35,-1.9,2300,-1.2,19,58,16.7
MUJU-01,무주군,무주읍,36.005,127.660,12000,2460,4200,-12,-3.1,900,-2.1,7,27,19.9
BUAN-01,부안군,보안면,35.780,126.735,15000,2980,5100,8,-2.6,1100,-1.8,10,32,23.8
JINAN-01,진안군,진안읍,35.793,127.431,9000,1810,3300,-16,-4.2,650,-3.0,6,21,27.1
IMSIL-01,임실군,임실읍,35.617,127.288,14000,2920,4700,-5,-2.8,1050,-1.4,9,31,21.6
SUNCHANG-01,순창군,순창읍,35.373,127.148,12000,2420,4300,-9,-2.4,920,-1.3,8,28,20.5
