region_code,city,district,lat,lon,population,youth_ratio,elderly_ratio,net_migration,population_change,business_count,business_change,hospital_count,bus_stop_count,vacant_house_ratio,transport_score,medical_score,living_score,youth_score,infrastructure_stability,overall_score
JEONJU-01,전주시,완산구,35.82,127.15,48000.0,26.0,16.46,180.0,-1.2,3400.0,3.2,41.0,96.0,9.5,96.78,97.21,90.49,91.65,96.84,95.11
JEONJU-02,전주시,덕진구,35.84,127.13,52000.0,26.25,14.23,210.0,-0.8,3600.0,4.6,38.0,92.0,8.1,96.8,94.0,98.93,100.0,97.29,97.09
IKSAN-01,익산시,영등동,35.95,126.95,29000.0,25.59,21.03,140.0,1.1,2500.0,4.9,29.0,88.0,7.4,75.44,59.95,74.53,80.4,96.94,76.96
IKSAN-02,익산시,삼기동,36.01,126.95,27000.0,25.3,21.48,110.0,0.4,2200.0,2.8,23.0,74.0,10.2,61.28,46.56,62.25,72.0,96.35,66.62
GUNSAN-01,군산시,수송동,35.98,126.71,31000.0,24.97,20.65,95.0,-0.6,2600.0,1.3,27.0,83.0,11.1,73.05,57.35,66.2,67.52,96.22,72.62
GIMJE-01,김제시,신풍동,35.8,126.88,19000.0,22.53,25.79,46.0,-1.7,1800.0,-0.5,15.0,52.0,14.8,37.25,24.98,42.22,50.79,95.05,48.7
NAMWON-01,남원시,요천동,35.41,127.39,22000.0,25.45,27.73,72.0,-0.2,2100.0,1.9,18.0,60.0,12.5,47.08,33.07,53.35,62.15,95.42,56.7
JEUNGJU-01,정읍시,시기동,35.57,126.86,26000.0,24.85,27.69,35.0,-1.9,2300.0,-1.2,19.0,58.0,16.7,48.69,37.86,46.73,51.4,94.51,55.57
MUJU-01,무주군,무주읍,36.01,127.66,12000.0,20.5,35.0,-12.0,-3.1,900.0,-2.1,7.0,27.0,19.9,7.89,4.09,15.88,32.3,93.16,28.22
BUAN-01,부안군,보안면,35.78,126.74,15000.0,19.87,34.0,8.0,-2.6,1100.0,-1.8,10.0,32.0,23.8,14.64,12.19,12.95,36.64,92.59,31.6
JINAN-01,진안군,진안읍,35.79,127.43,9000.0,20.11,36.67,-16.0,-4.2,650.0,-3.0,6.0,21.0,27.1,0.0,0.0,1.07,30.65,91.5,21.58
IMSIL-01,임실군,임실읍,35.62,127.29,14000.0,20.86,33.57,-5.0,-2.8,1050.0,-1.4,9.0,31.0,21.6,13.04,9.49,15.16,34.7,93.01,30.91
SUNCHANG-01,순창군,순창읍,35.37,127.15,12000.0,20.17,35.83,-9.0,-2.4,920.0,-1.3,8.0,28.0,20.5,8.83,6.09,15.02,32.59,93.04,28.74
