region_code,city,district,lat,lon,population,youth_population,elderly_population,net_migration,population_change,business_count,business_change,hospital_count,bus_stop_count,vacant_house_ratio,year,youth_ratio,elderly_ratio
JEONJU-01,전주시,완산구,35.821,127.153,48000.0,12480.0,7900.0,180.0,-1.2,3400.0,3.2,41.0,96.0,9.5,2024,26.0,16.458333333333332
JEONJU-02,전주시,덕진구,35.845,127.13,52000.0,13650.0,7400.0,210.0,-0.8,3600.0,4.6,38.0,92.0,8.1,2024,26.25,14.23076923076923
IKSAN-01,익산시,영등동,35.952,126.954,29000.0,7420.0,6100.0,140.0,1.1,2500.0,4.9,29.0,88.0,7.4,2024,25.586206896551722,21.03448275862069
IKSAN-02,익산시,삼기동,36.013,126.948,27000.0,6830.0,5800.0,110.0,0.4,2200.0,2.8,23.0,74.0,10.2,2024,25.296296296296294,21.48148148148148
GUNSAN-01,군산시,수송동,35.978,126.708,31000.0,7740.0,6400.0,95.0,-0.6,2600.0,1.3,27.0,83.0,11.1,2024,24.96774193548387,20.64516129032258
GIMJE-01,김제시,신풍동,35.803,126.881,19000.0,4280.0,4900.0,46.0,-1.7,1800.0,-0.5,15.0,52.0,14.8,2024,22.526315789473685,25.789473684210527
NAMWON-01,남원시,요천동,35.413,127.389,22000.0,5600.0,6100.0,72.0,-0.2,2100.0,1.9,18.0,60.0,12.5,2024,25.454545454545453,27.727272727272727
JEUNGJU-01,정읍시,시기동,35.568,126.855,26000.0,6460.0,7200.0,35.0,-1.9,2300.0,-1.2,19.0,58.0,16.7,2024,24.846153846153847,27.692307692307693
MUJU-01,무주군,무주읍,36.005,127.66,12000.0,2460.0,4200.0,-12.0,-3.1,900.0,-2.1,7.0,27.0,19.9,2024,20.5,35.0
BUAN-01,부안군,보안면,35.78,126.735,15000.0,2980.0,5100.0,8.0,-2.6,1100.0,-1.8,10.0,32.0,23.8,2024,19.866666666666667,34.0
JINAN-01,진안군,진안읍,35.793,127.431,9000.0,1810.0,3300.0,-16.0,-4.2,650.0,-3.0,6.0,21.0,27.1,2024,20.11111111111111,36.666666666666664
IMSIL-01,임실군,임실읍,35.617,127.288,14000.0,2920.0,4700.0,-5.0,-2.8,1050.0,-1.4,9.0,31.0,21.6,2024,20.857142857142858,33.57142857142857
SUNCHANG-01,순창군,순창읍,35.373,127.148,12000.0,2420.0,4300.0,-9.0,-2.4,920.0,-1.3,8.0,28.0,20.5,2024,20.166666666666664,35.833333333333336
